index,network_names,ROI1,ROI2
614,Def and SoM,19,36
615,Def and SoM,20,36
616,Def and DoA,21,36
617,Def and InO,22,36
618,Def and DoA,23,36
619,Def and Def,24,36
620,Def and Def,25,36
621,Def and Def,26,36
622,Def and Lmb,27,36
623,Def and Lmb,28,36
624,Def and Lmb,29,36
625,Def and Def,30,36
626,Def and Def,31,36
627,Def and Def,32,36
628,Def and Def,33,36
629,Def and SoM,34,36
630,Def and Def,35,36
631,Lmb and Vis,1,37
632,Lmb and Vis,2,37
633,InO and Lmb,3,37
634,InO and Lmb,4,37
635,Aud and Lmb,5,37
636,Aud and Lmb,6,37
637,Def and Lmb,7,37
638,Def and Lmb,8,37
639,Lmb and Lmb,9,37
640,Lmb and Lmb,10,37
641,Def and Lmb,11,37
642,Def and Lmb,12,37
643,Lmb and SoM,13,37
644,Lmb and SoM,14,37
645,DoA and Lmb,15,37
646,DoA and Lmb,16,37
647,Lmb and SoM,17,37
648,DoA and Lmb,18,37
649,Lmb and SoM,19,37
650,Lmb and SoM,20,37
651,DoA and Lmb,21,37
652,InO and Lmb,22,37
653,DoA and Lmb,23,37
654,Def and Lmb,24,37
655,Def and Lmb,25,37
656,Def and Lmb,26,37
657,Lmb and Lmb,27,37
658,Lmb and Lmb,28,37
659,Lmb and Lmb,29,37
660,Def and Lmb,30,37
661,Def and Lmb,31,37
662,Def and Lmb,32,37
663,Def and Lmb,33,37
664,Lmb and SoM,34,37
665,Def and Lmb,35,37
666,Def and Lmb,36,37
667,Lmb and Vis,1,38
668,Lmb and Vis,2,38
669,InO and Lmb,3,38
670,InO and Lmb,4,38
671,Aud and Lmb,5,38
672,Aud and Lmb,6,38
673,Def and Lmb,7,38
674,Def and Lmb,8,38
675,Lmb and Lmb,9,38
676,Lmb and Lmb,10,38
677,Def and Lmb,11,38
678,Def and Lmb,12,38
679,Lmb and SoM,13,38
680,Lmb and SoM,14,38
681,DoA and Lmb,15,38
682,DoA and Lmb,16,38
683,Lmb and SoM,17,38
684,DoA and Lmb,18,38
685,Lmb and SoM,19,38
686,Lmb and SoM,20,38
687,DoA and Lmb,21,38
688,InO and Lmb,22,38
689,DoA and Lmb,23,38
690,Def and Lmb,24,38
691,Def and Lmb,25,38
692,Def and Lmb,26,38
693,Lmb and Lmb,27,38
694,Lmb and Lmb,28,38
695,Lmb and Lmb,29,38
696,Def and Lmb,30,38
697,Def and Lmb,31,38
698,Def and Lmb,32,38
699,Def and Lmb,33,38
700,Lmb and SoM,34,38
701,Def and Lmb,35,38
702,Def and Lmb,36,38
703,Lmb and Lmb,37,38
704,Vis and Vis,1,39
705,Vis and Vis,2,39
706,InO and Vis,3,39
707,InO and Vis,4,39
708,Aud and Vis,5,39
709,Aud and Vis,6,39
710,Def and Vis,7,39
711,Def and Vis,8,39
712,Lmb and Vis,9,39
713,Lmb and Vis,10,39
714,Def and Vis,11,39
715,Def and Vis,12,39
716,SoM and Vis,13,39
717,SoM and Vis,14,39
718,DoA and Vis,15,39
719,DoA and Vis,16,39
720,SoM and Vis,17,39
721,DoA and Vis,18,39
722,SoM and Vis,19,39
723,SoM and Vis,20,39
724,DoA and Vis,21,39
725,InO and Vis,22,39
726,DoA and Vis,23,39
727,Def and Vis,24,39
728,Def and Vis,25,39
729,Def and Vis,26,39
730,Lmb and Vis,27,39
731,Lmb and Vis,28,39
732,Lmb and Vis,29,39
733,Def and Vis,30,39
734,Def and Vis,31,39
735,Def and Vis,32,39
736,Def and Vis,33,39
737,SoM and Vis,34,39
738,Def and Vis,35,39
739,Def and Vis,36,39
740,Lmb and Vis,37,39
741,Lmb and Vis,38,39
742,Vis and Vis,1,40
743,Vis and Vis,2,40
744,InO and Vis,3,40
745,InO and Vis,4,40
746,Aud and Vis,5,40
747,Aud and Vis,6,40
748,Def and Vis,7,40
749,Def and Vis,8,40
750,Lmb and Vis,9,40
751,Lmb and Vis,10,40
752,Def and Vis,11,40
753,Def and Vis,12,40
754,SoM and Vis,13,40
755,SoM and Vis,14,40
756,DoA and Vis,15,40
757,DoA and Vis,16,40
758,SoM and Vis,17,40
759,DoA and Vis,18,40
760,SoM and Vis,19,40
761,SoM and Vis,20,40
762,DoA and Vis,21,40
763,InO and Vis,22,40
764,DoA and Vis,23,40
765,Def and Vis,24,40
766,Def and Vis,25,40
767,Def and Vis,26,40
768,Lmb and Vis,27,40
769,Lmb and Vis,28,40
770,Lmb and Vis,29,40
771,Def and Vis,30,40
772,Def and Vis,31,40
773,Def and Vis,32,40
774,Def and Vis,33,40
775,SoM and Vis,34,40
776,Def and Vis,35,40
777,Def and Vis,36,40
778,Lmb and Vis,37,40
779,Lmb and Vis,38,40
780,Vis and Vis,39,40
781,InO and Vis,1,41
782,InO and Vis,2,41
783,InO and InO,3,41
784,InO and InO,4,41
785,Aud and InO,5,41
786,Aud and InO,6,41
787,Def and InO,7,41
788,Def and InO,8,41
789,InO and Lmb,9,41
790,InO and Lmb,10,41
791,Def and InO,11,41
792,Def and InO,12,41
793,InO and SoM,13,41
794,InO and SoM,14,41
795,DoA and InO,15,41
796,DoA and InO,16,41
797,InO and SoM,17,41
798,DoA and InO,18,41
799,InO and SoM,19,41
800,InO and SoM,20,41
801,DoA and InO,21,41
802,InO and InO,22,41
803,DoA and InO,23,41
804,Def and InO,24,41
805,Def and InO,25,41
806,Def and InO,26,41
807,InO and Lmb,27,41
808,InO and Lmb,28,41
809,InO and Lmb,29,41
810,Def and InO,30,41
811,Def and InO,31,41
812,Def and InO,32,41
813,Def and InO,33,41
814,InO and SoM,34,41
815,Def and InO,35,41
816,Def and InO,36,41
817,InO and Lmb,37,41
818,InO and Lmb,38,41
819,InO and Vis,39,41
820,InO and Vis,40,41
821,Vis and Vis,1,42
822,Vis and Vis,2,42
823,InO and Vis,3,42
824,InO and Vis,4,42
825,Aud and Vis,5,42
826,Aud and Vis,6,42
827,Def and Vis,7,42
828,Def and Vis,8,42
829,Lmb and Vis,9,42
830,Lmb and Vis,10,42
831,Def and Vis,11,42
832,Def and Vis,12,42
833,SoM and Vis,13,42
834,SoM and Vis,14,42
835,DoA and Vis,15,42
836,DoA and Vis,16,42
837,SoM and Vis,17,42
838,DoA and Vis,18,42
839,SoM and Vis,19,42
840,SoM and Vis,20,42
841,DoA and Vis,21,42
842,InO and Vis,22,42
843,DoA and Vis,23,42
844,Def and Vis,24,42
845,Def and Vis,25,42
846,Def and Vis,26,42
847,Lmb and Vis,27,42
848,Lmb and Vis,28,42
849,Lmb and Vis,29,42
850,Def and Vis,30,42
851,Def and Vis,31,42
852,Def and Vis,32,42
853,Def and Vis,33,42
854,SoM and Vis,34,42
855,Def and Vis,35,42
856,Def and Vis,36,42
857,Lmb and Vis,37,42
858,Lmb and Vis,38,42
859,Vis and Vis,39,42
860,Vis and Vis,40,42
861,InO and Vis,41,42
862,Vis and Vis,1,43
863,Vis and Vis,2,43
864,InO and Vis,3,43
865,InO and Vis,4,43
866,Aud and Vis,5,43
867,Aud and Vis,6,43
868,Def and Vis,7,43
869,Def and Vis,8,43
870,Lmb and Vis,9,43
871,Lmb and Vis,10,43
872,Def and Vis,11,43
873,Def and Vis,12,43
874,SoM and Vis,13,43
875,SoM and Vis,14,43
876,DoA and Vis,15,43
877,DoA and Vis,16,43
878,SoM and Vis,17,43
879,DoA and Vis,18,43
880,SoM and Vis,19,43
881,SoM and Vis,20,43
882,DoA and Vis,21,43
883,InO and Vis,22,43
884,DoA and Vis,23,43
885,Def and Vis,24,43
886,Def and Vis,25,43
887,Def and Vis,26,43
888,Lmb and Vis,27,43
889,Lmb and Vis,28,43
890,Lmb and Vis,29,43
891,Def and Vis,30,43
892,Def and Vis,31,43
893,Def and Vis,32,43
894,Def and Vis,33,43
895,SoM and Vis,34,43
896,Def and Vis,35,43
897,Def and Vis,36,43
898,Lmb and Vis,37,43
899,Lmb and Vis,38,43
900,Vis and Vis,39,43
901,Vis and Vis,40,43
902,InO and Vis,41,43
903,Vis and Vis,42,43
904,SoM and Vis,1,44
905,SoM and Vis,2,44
906,InO and SoM,3,44
907,InO and SoM,4,44
908,Aud and SoM,5,44
909,Aud and SoM,6,44
910,Def and SoM,7,44
911,Def and SoM,8,44
912,Lmb and SoM,9,44
913,Lmb and SoM,10,44
914,Def and SoM,11,44
915,Def and SoM,12,44
916,SoM and SoM,13,44
917,SoM and SoM,14,44
918,DoA and SoM,15,44
919,DoA and SoM,16,44
920,SoM and SoM,17,44
921,DoA and SoM,18,44
922,SoM and SoM,19,44
923,SoM and SoM,20,44
924,DoA and SoM,21,44
925,InO and SoM,22,44
926,DoA and SoM,23,44
927,Def and SoM,24,44
928,Def and SoM,25,44
929,Def and SoM,26,44
930,Lmb and SoM,27,44
931,Lmb and SoM,28,44
932,Lmb and SoM,29,44
933,Def and SoM,30,44
934,Def and SoM,31,44
935,Def and SoM,32,44
936,Def and SoM,33,44
937,SoM and SoM,34,44
938,Def and SoM,35,44
939,Def and SoM,36,44
940,Lmb and SoM,37,44
941,Lmb and SoM,38,44
942,SoM and Vis,39,44
943,SoM and Vis,40,44
944,InO and SoM,41,44
945,SoM and Vis,42,44
946,SoM and Vis,43,44
947,InO and Vis,1,45
948,InO and Vis,2,45
949,InO and InO,3,45
950,InO and InO,4,45
951,Aud and InO,5,45
952,Aud and InO,6,45
953,Def and InO,7,45
954,Def and InO,8,45
955,InO and Lmb,9,45
956,InO and Lmb,10,45
957,Def and InO,11,45
958,Def and InO,12,45
959,InO and SoM,13,45
960,InO and SoM,14,45
961,DoA and InO,15,45
962,DoA and InO,16,45
963,InO and SoM,17,45
964,DoA and InO,18,45
965,InO and SoM,19,45
966,InO and SoM,20,45
967,DoA and InO,21,45
968,InO and InO,22,45
969,DoA and InO,23,45
970,Def and InO,24,45
971,Def and InO,25,45
972,Def and InO,26,45
973,InO and Lmb,27,45
974,InO and Lmb,28,45
975,InO and Lmb,29,45
976,Def and InO,30,45
977,Def and InO,31,45
978,Def and InO,32,45
979,Def and InO,33,45
980,InO and SoM,34,45
981,Def and InO,35,45
982,Def and InO,36,45
983,InO and Lmb,37,45
984,InO and Lmb,38,45
985,InO and Vis,39,45
986,InO and Vis,40,45
987,InO and InO,41,45
988,InO and Vis,42,45
989,InO and Vis,43,45
990,InO and SoM,44,45
991,Aud and Vis,1,46
992,Aud and Vis,2,46
993,Aud and InO,3,46
994,Aud and InO,4,46
995,Aud and Aud,5,46
996,Aud and Aud,6,46
997,Aud and Def,7,46
998,Aud and Def,8,46
999,Aud and Lmb,9,46
1000,Aud and Lmb,10,46
1001,Aud and Def,11,46
1002,Aud and Def,12,46
1003,Aud and SoM,13,46
1004,Aud and SoM,14,46
